# time [s],current [A],voltage [V],temperature [K],c_p_avg [mol/m^3],c_n_avg [mol/m^3]
0,-90,3.88302610288832,298.15,29252.006443504,22404.961910205
0.2,-90,3.88249341055251,298.16089405019,29255.9588508978,22400.5673670829
0.4,-90,3.88197535771807,298.17181761651,29259.9112582916,22396.1728239607
0.6,-90,3.88146972877993,298.18276922416,29263.8636656853,22391.7782808386
0.8,-90,3.88097521440089,298.193748314324,29267.8160730791,22387.3837377165
1,-90,3.88049073980332,298.204754258817,29271.7684804729,22382.9891945943
1.2,-90,3.88001546848592,298.215786308332,29275.7208878667,22378.5946514722
1.4,-90,3.87954800785319,298.226842130146,29279.6732952604,22374.2001083501
1.6,-90,3.87908835052439,298.237922503576,29283.6257026542,22369.8055652279
1.8,-90,3.87863602297125,298.249027461775,29287.578110048,22365.4110221058
2,-90,3.87818979711241,298.260153769391,29291.5305174418,22361.0164789837
2.2,-90,3.87775135818056,298.271308632209,29295.4829248355,22356.6219358615
2.4,-90,3.87731735186073,298.282480715321,29299.4353322293,22352.2273927394
2.6,-90,3.87688780421034,298.293670288153,29303.3877396231,22347.8328496173
2.8,-90,3.87646518585629,298.304888428568,29307.3401470169,22343.4383064951
3,-90,3.8760468187728,298.316125101289,29311.2925544107,22339.043763373
3.2,-90,3.87563215433219,298.327378177713,29315.2449618044,22334.6492202509
3.4,-90,3.87522266331529,298.338655009945,29319.1973691982,22330.2546771287
3.6,-90,3.87481747181952,298.349952591333,29323.149776592,22325.8601340066
3.8,-90,3.87441541373455,298.361265663211,29327.1021839858,22321.4655908845
4,-90,3.8740172081355,298.372598221764,29331.0545913795,22317.0710477623
4.2,-90,3.873623316266,298.383953577697,29335.0069987733,22312.6765046402
4.4,-90,3.87323303190642,298.395328842816,29338.9594061671,22308.2819615181
4.6,-90,3.87284692225502,298.406727413365,29342.9118135609,22303.8874183959
4.8,-90,3.87246081260361,298.418125983914,29346.8642209547,22299.4928752738
5,-90,3.87207887355853,298.429549331501,29350.8166283484,22295.0983321517
5.2,-90,3.87170083006764,298.440995822076,29354.7690357422,22290.7037890295
5.4,-90,3.87132278657676,298.452442312652,29358.721443136,22286.3092459074
5.6,-90,3.87095106679756,298.46392897187,29362.6738505298,22281.9147027853
5.8,-90,3.87057990912074,298.475419201601,29366.6262579235,22277.5201596631
6,-90,3.8702107576871,298.48692295098,29370.5786653173,22273.125616541
6.2,-90,3.86984587567112,298.498455471065,29374.5310727111,22268.7310734189
6.4,-90,3.86948099365515,298.509987991149,29378.4834801049,22264.3365302967
6.6,-90,3.86912026330355,298.521550047738,29382.4358874987,22259.9419871746
6.8,-90,3.86876113945335,298.533123533583,29386.3882948924,22255.5474440525
7,-90,3.86840266556456,298.544701881278,29390.3407022862,22251.1529009303
7.2,-90,3.8680488552007,298.556315113125,29394.29310968,22246.7583578082
7.4,-90,3.86769504483684,298.567928344973,29398.2455170738,22242.3638146861
7.6,-90,3.86734380964715,298.579561798445,29402.1979244675,22237.9692715639
7.8,-90,3.86699491710456,298.591213647615,29406.1503318613,22233.5747284418
8,-90,3.86664602456197,298.602865496786,29410.1027392551,22229.1801853197
8.2,-90,3.8663013573176,298.614552096018,29414.0551466489,22224.7856421976
8.4,-90,3.86595703286463,298.626241514465,29418.0075540426,22220.3910990754
8.6,-90,3.86561409941637,298.63794287252,29421.9599614364,22215.9965559533
8.8,-90,3.86527403821509,298.64966888434,29425.9123688302,22211.6020128311
9,-90,3.8649339770138,298.661394896161,29429.864776224,22207.207469709
9.2,-90,3.86459681598901,298.673146869865,29433.8171836178,22202.8129265869
9.4,-90,3.86426074075765,298.684908563405,29437.7695910115,22198.4183834648
9.6,-90,3.86392537359235,298.696676940016,29441.7219984053,22194.0238403426
9.8,-90,3.86359479088636,298.708490474662,29445.6744057991,22189.6292972205
10,-90,3.86326420818038,298.720304009309,29449.6268131929,22185.2347540984
10.2,-90,3.86293362547439,298.732117543956,29453.5792205866,22180.8402109762
10.4,-90,3.8626030427684,298.743931078603,29457.5316279804,22176.4456678541
10.6,-90,3.86227246006241,298.755744613249,29461.4840353742,22172.051124732
10.8,-90,3.86194804379427,298.767620154391,29465.436442768,22167.6565816098
11,-90,3.86162408062629,298.779500251673,29469.3888501617,22163.2620384877
11.2,-90,3.86130011745831,298.791380348954,29473.3412575555,22158.8674953655
11.4,-90,3.86097615429033,298.803260446236,29477.2936649493,22154.4729522434
11.6,-90,3.86065219112235,298.815140543517,29481.2460723431,22150.0784091213
11.8,-90,3.86033255243021,298.82706747467,29485.1984797369,22145.6838659992
12,-90,3.86001447941248,298.839011362003,29489.1508871306,22141.289322877
12.2,-90,3.85969640639475,298.850955249337,29493.1032945244,22136.8947797549
12.4,-90,3.85937833337702,298.86289913667,29497.0557019182,22132.5002366328
12.6,-90,3.85906026035929,298.874843024004,29501.008109312,22128.1056935106
12.8,-90,3.85874501606109,298.886819825822,29504.9605167057,22123.7111503885
13,-90,3.85843221240154,298.898825026483,29508.9129240995,22119.3166072664
13.2,-90,3.858119408742,298.910830227144,29512.8653314933,22114.9220641442
13.4,-90,3.85780660508245,298.922835427805,29516.8177388871,22110.5275210221
13.6,-90,3.8574938014229,298.934840628467,29520.7701462809,22106.1329779
13.8,-90,3.85718260569223,298.946865888362,29524.7225536746,22101.7384347778
14,-90,3.8568745387456,298.958930180462,29528.6749610684,22097.3438916557
14.2,-90,3.85656647179898,298.970994472562,29532.6273684622,22092.9493485336
14.4,-90,3.85625840485236,298.983058764663,29536.579775856,22088.5548054114
14.6,-90,3.85595033790573,298.995123056763,29540.5321832497,22084.1602622893
14.8,-90,3.85564287833003,299.007195461064,29544.4845906435,22079.7657191672
15,-90,3.85533908570812,299.019316842134,29548.4369980373,22075.371176045
15.2,-90,3.85503529308621,299.031438223204,29552.3894054311,22070.9766329229
15.4,-90,3.8547315004643,299.043559604274,29556.3418128249,22066.5820898008
15.6,-90,3.85442770784239,299.055680985344,29560.2942202186,22062.1875466786
15.8,-90,3.85412391522048,299.067802366414,29564.2466276124,22057.7930035565
16,-90,3.85382376904427,299.07997597084,29568.1990350062,22053.3984604344
16.2,-90,3.85352383618102,299.092152630273,29572.1514424,22049.0039173122
16.4,-90,3.85322390331778,299.104329289706,29576.1038497937,22044.6093741901
16.6,-90,3.85292397045453,299.116505949139,29580.0562571875,22040.214831068
16.8,-90,3.85262403759128,299.128682608572,29584.0086645813,22035.8202879458
17,-90,3.85232671754154,299.140899355535,29587.9610719751,22031.4257448237
17.2,-90,3.85203028068557,299.153129653047,29591.9134793688,22027.0312017016
17.4,-90,3.85173384382961,299.16535995056,29595.8658867626,22022.6366585794
17.6,-90,3.85143740697364,299.177590248072,29599.8182941564,22018.2421154573
17.8,-90,3.85114097011768,299.189820545585,29603.7707015502,22013.8475723352
18,-90,3.85084627556909,299.202079526253,29607.723108944,22009.453029213
18.2,-90,3.85055300650248,299.214361974263,29611.6755163377,22005.0584860909
18.4,-90,3.85025973743587,299.226644422272,29615.6279237315,22000.6639429688
