# time [s],current [A],voltage [V],temperature [K],c_p_avg [mol/m^3],c_n_avg [mol/m^3]
0,-60,3.92993822974978,298.15,29252.006443504,22404.961910205
0.2,-60,3.92959307878815,298.154914198207,29254.6413817665,22402.0322147902
0.4,-60,3.92925789004742,298.15984052937,29257.276320029,22399.1025193755
0.6,-60,3.92893167984876,298.164779181775,29259.9112582916,22396.1728239607
0.8,-60,3.92861273628418,298.169728914717,29262.5461965541,22393.243128546
1,-60,3.92830042074689,298.174689646914,29265.1811348166,22390.3134331312
1.2,-60,3.92799417596099,298.179661151585,29267.8160730791,22387.3837377165
1.4,-60,3.92769418997268,298.184644588831,29270.4510113416,22384.4540423017
1.6,-60,3.92739834077418,298.18963638867,29273.0859496041,22381.524346887
1.8,-60,3.92710733602637,298.194638398205,29275.7208878667,22378.5946514722
2,-60,3.92682065979924,298.199650000726,29278.3558261292,22375.6649560574
2.2,-60,3.92653801494608,298.204670962405,29280.9907643917,22372.7352606427
2.4,-60,3.92625915429036,298.209701064516,29283.6257026542,22369.8055652279
2.6,-60,3.92598450647411,298.214741889182,29286.2606409167,22366.8758698132
2.8,-60,3.92571271942993,298.21979020461,29288.8955791792,22363.9461743984
3,-60,3.92544364992067,298.224846067035,29291.5305174418,22361.0164789837
3.2,-60,3.92517786291994,298.229911045472,29294.1654557043,22358.0867835689
3.4,-60,3.92491469394318,298.234983803076,29296.8003939668,22355.1570881542
3.6,-60,3.92465430305201,298.240064815452,29299.4353322293,22352.2273927394
3.8,-60,3.92439644085389,298.245153830091,29302.0702704918,22349.2976973246
4,-60,3.92414093709691,298.250250308217,29304.7052087544,22346.3680019099
4.2,-60,3.9238878827432,298.255355002984,29307.3401470169,22343.4383064951
4.4,-60,3.92363683513689,298.260466429483,29309.9750852794,22340.5086110804
4.6,-60,3.92338816512927,298.265586278981,29312.6100235419,22337.5789156656
4.8,-60,3.92314120332288,298.270712180037,29315.2449618044,22334.6492202509
5,-60,3.92289655560547,298.275846703387,29317.8799000669,22331.7195248361
5.2,-60,3.92265336164797,298.280986643445,29320.5148383295,22328.7898294214
5.4,-60,3.92241242538148,298.286135397835,29323.149776592,22325.8601340066
5.6,-60,3.92217272404865,298.291288973574,29325.7847148545,22322.9304385918
5.8,-60,3.92193625934006,298.296455931062,29328.419653117,22320.0007431771
6,-60,3.9217013271024,298.301629224518,29331.0545913795,22317.0710477623
6.2,-60,3.92146639486474,298.306802517973,29333.6895296421,22314.1413523476
6.4,-60,3.92123146262708,298.311975811429,29336.3244679046,22311.2116569328
6.6,-60,3.92100056695378,298.317166909494,29338.9594061671,22308.2819615181
6.8,-60,3.92077106629824,298.32236416075,29341.5943444296,22305.3522661033
7,-60,3.92054156564269,298.327561412006,29344.2292826921,22302.4225706886
7.2,-60,3.92031298791218,298.332763026307,29346.8642209547,22299.4928752738
7.4,-60,3.92008807402306,298.33798196109,29349.4991592172,22296.5631798591
7.6,-60,3.91986316013395,298.343200895873,29352.1340974797,22293.6334844443
7.8,-60,3.91963824624484,298.348419830655,29354.7690357422,22290.7037890295
8,-60,3.91941606237672,298.353652483028,29357.4039740047,22287.7740936148
8.2,-60,3.91919528950091,298.358892225241,29360.0389122672,22284.8443982
8.4,-60,3.9189745166251,298.364131967455,29362.6738505298,22281.9147027853
8.6,-60,3.91875418573456,298.369374057573,29365.3087887923,22278.9850073705
8.8,-60,3.91853718042335,298.374633813766,29367.9437270548,22276.0553119558
9,-60,3.91832017511213,298.379893569959,29370.5786653173,22273.125616541
9.2,-60,3.91810316980092,298.385153326151,29373.2136035798,22270.1959211263
9.4,-60,3.91788814828478,298.390424180743,29375.8485418423,22267.2662257115
9.6,-60,3.91767459087821,298.395703226339,29378.4834801049,22264.3365302967
9.8,-60,3.91746103347164,298.400982271936,29381.1184183674,22261.406834882
10,-60,3.91724758180849,298.406261939797,29383.7533566299,22258.4771394672
10.2,-60,3.91703718925743,298.411559609529,29386.3882948924,22255.5474440525
10.4,-60,3.91682679670637,298.41685727926,29389.0232331549,22252.6177486377
10.6,-60,3.91661640415531,298.422154948992,29391.6581714175,22249.688053223
10.8,-60,3.91640744542573,298.427461470473,29394.29310968,22246.7583578082
11,-60,3.91619997034198,298.432777151295,29396.9280479425,22243.8286623935
11.2,-60,3.91599249525824,298.438092832118,29399.562986205,22240.8989669787
11.4,-60,3.91578502017449,298.443408512941,29402.1979244675,22237.9692715639
11.6,-60,3.91558011159965,298.448740757541,29404.8328627301,22235.0395761492
11.8,-60,3.9153753394976,298.454073882911,29407.4678009926,22232.1098807344
12,-60,3.91517056739555,298.459407008281,29410.1027392551,22229.1801853197
12.2,-60,3.91496681746319,298.46474702923,29412.7376775176,22226.2504899049
12.4,-60,3.91476455338661,298.470097073793,29415.3726157801,22223.3207944902
12.6,-60,3.91456228931002,298.475447118357,29418.0075540426,22220.3910990754
12.8,-60,3.91436002523343,298.48079716292,29420.6424923052,22217.4614036607
13,-60,3.91416072677506,298.486168344052,29423.2774305677,22214.5317082459
13.2,-60,3.91396188874757,298.491542806769,29425.9123688302,22211.6020128312
13.4,-60,3.91376305072007,298.496917269485,29428.5473070927,22208.6723174164
13.6,-60,3.91356421269258,298.502291732202,29431.1822453552,22205.7426220016
13.8,-60,3.91336537466508,298.507666194919,29433.8171836177,22202.8129265869
14,-60,3.91316653663759,298.513040657635,29436.4521218803,22199.8832311721
14.2,-60,3.9129676986101,298.518415120352,29439.0870601428,22196.9535357574
14.4,-60,3.91277205421115,298.523813901651,29441.7219984053,22194.0238403426
14.6,-60,3.91257730163678,298.529219473943,29444.3569366678,22191.0941449279
14.8,-60,3.91238254906241,298.534625046235,29446.9918749303,22188.1644495131
15,-60,3.91218779648805,298.540030618526,29449.6268131929,22185.2347540984
15.2,-60,3.91199304391368,298.545436190818,29452.2617514554,22182.3050586836
15.4,-60,3.91179829133931,298.55084176311,29454.8966897179,22179.3753632688
15.6,-60,3.91160353876494,298.556247335402,29457.5316279804,22176.4456678541
15.8,-60,3.91141129193052,298.561673532805,29460.1665662429,22173.5159724393
16,-60,3.91122013024044,298.56710866219,29462.8015045055,22170.5862770246
16.2,-60,3.91102896855036,298.572543791574,29465.436442768,22167.6565816098
16.4,-60,3.91083780686028,298.577978920959,29468.0713810305,22164.7268861951
16.6,-60,3.91064664517021,298.583414050343,29470.706319293,22161.7971907803
16.8,-60,3.91045548348013,298.588849179728,29473.3412575555,22158.8674953656
17,-60,3.91026432179005,298.594284309113,29475.976195818,22155.9377999508
17.2,-60,3.9100751112321,298.599736741956,29478.6111340806,22153.008104536
17.4,-60,3.90988712777686,298.60520005726,29481.2460723431,22150.0784091213
17.6,-60,3.90969914432163,298.610663372565,29483.8810106056,22147.1487137065
17.8,-60,3.9095111608664,298.616126687869,29486.5159488681,22144.2190182918
18,-60,3.90932317741116,298.621590003174,29489.1508871306,22141.289322877
18.2,-60,3.90913519395593,298.627053318478,29491.7858253932,22138.3596274623
18.4,-60,3.9089472105007,298.632516633783,29494.4207636557,22135.4299320475
18.6,-60,3.9087607266811,298.637994242479,29497.0557019182,22132.5002366328
18.8,-60,3.9085755727119,298.643484526302,29499.6906401807,22129.570541218
19,-60,3.9083904187427,298.648974810126,29502.3255784432,22126.6408458032
19.2,-60,3.9082052647735,298.65446509395,29504.9605167057,22123.7111503885
19.4,-60,3.9080201108043,298.659955377773,29507.5954549683,22120.7814549737
19.6,-60,3.90783495683511,298.665445661597,29510.2303932308,22117.851759559
19.8,-60,3.90764980286591,298.670935945421,29512.8653314933,22114.9220641442
20,-60,3.90746577799928,298.676437774994,29515.5002697558,22111.9923687295
20.2,-60,3.90728315507503,298.681953940269,29518.1352080183,22109.0626733147
20.4,-60,3.90710053215078,298.687470105544,29520.7701462809,22106.1329779
20.6,-60,3.90691790922653,298.692986270818,29523.4050845434,22103.2032824852
20.8,-60,3.90673528630227,298.698502436092,29526.0400228059,22100.2735870704
21,-60,3.90655266337802,298.704018601367,29528.6749610684,22097.3438916557
21.2,-60,3.90637004045377,298.709534766641,29531.3098993309,22094.4141962409
21.4,-60,3.90618823994597,298.715059952891,29533.9448375934,22091.4845008262
21.6,-60,3.90600788763675,298.720601024235,29536.579775856,22088.5548054114
21.8,-60,3.90582753532753,298.726142095579,29539.2147141185,22085.6251099967
22,-60,3.9056471830183,298.731683166923,29541.849652381,22082.6954145819
22.2,-60,3.90546683070908,298.737224238267,29544.4845906435,22079.7657191672
22.4,-60,3.90528647839986,298.742765309611,29547.119528906,22076.8360237524
22.6,-60,3.90510612609063,298.748306380954,29549.7544671686,22073.9063283376
22.8,-60,3.90492634279737,298.753854139236,29552.3894054311,22070.9766329229
23,-60,3.90474803511366,298.759419238521,29555.0243436936,22068.0469375081
23.2,-60,3.90456972742996,298.764984337806,29557.6592819561,22065.1172420934
23.4,-60,3.90439141974625,298.770549437092,29560.2942202186,22062.1875466786
23.6,-60,3.90421311206255,298.776114536377,29562.9291584811,22059.2578512639
23.8,-60,3.90403480437884,298.781679635662,29565.5640967437,22056.3281558491
24,-60,3.90385649669513,298.787244734948,29568.1990350062,22053.3984604344
24.2,-60,3.90367854784103,298.792814351121,29570.8339732687,22050.4687650196
24.4,-60,3.90350208601818,298.798402685795,29573.4689115312,22047.5390696049
24.6,-60,3.90332562419533,298.803991020469,29576.1038497937,22044.6093741901
24.8,-60,3.90314916237248,298.809579355143,29578.7387880563,22041.6796787753
25,-60,3.90297270054963,298.815167689817,29581.3737263188,22038.7499833606
25.2,-60,3.90279623872677,298.820756024491,29584.0086645813,22035.8202879458
25.4,-60,3.90261977690392,298.826344359165,29586.6436028438,22032.8905925311
25.6,-60,3.90244349971295,298.831935182001,29589.2785411063,22029.9608971163
25.8,-60,3.90226870883633,298.837546034912,29591.9134793688,22027.0312017016
26,-60,3.90209391795971,298.843156887824,29594.5484176314,22024.1015062868
26.2,-60,3.90191912708309,298.848767740735,29597.1833558939,22021.1718108721
26.4,-60,3.90174433620647,298.854378593647,29599.8182941564,22018.2421154573
26.6,-60,3.90156954532985,298.859989446559,29602.4532324189,22015.3124200425
26.8,-60,3.90139475445323,298.86560029947,29605.0881706814,22012.3827246278
27,-60,3.90122000392186,298.871211733921,29607.723108944,22009.453029213
27.2,-60,3.90104673013097,298.876844454191,29610.3580472065,22006.5233337983
27.4,-60,3.90087345634008,298.882477174461,29612.992985469,22003.5936383835
27.6,-60,3.90070018254919,298.888109894731,29615.6279237315,22000.6639429688
27.8,-60,3.9005269087583,298.893742615002,29618.262861994,21997.734247554
28,-60,3.90035363496741,298.899375335272,29620.8978002565,21994.8045521393
28.2,-60,3.90018036117652,298.905008055542,29623.5327385191,21991.8748567245
28.4,-60,3.90000708738563,298.910640775812,29626.1676767816,21988.9451613098
28.6,-60,3.89983511370401,298.916293552004,29628.8026150441,21986.015465895
28.8,-60,3.89966321905783,298.921947547423,29631.4375533066,21983.0857704802
29,-60,3.89949132441165,298.927601542842,29634.0724915691,21980.1560750655
29.2,-60,3.89931942976548,298.933255538261,29636.7074298317,21977.2263796507
29.4,-60,3.8991475351193,298.93890953368,29639.3423680942,21974.296684236
29.6,-60,3.89897564047312,298.9445635291,29641.9773063567,21971.3669888212
29.8,-60,3.89880374582694,298.950217524519,29644.6122446192,21968.4372934065
30,-60,3.89863342463473,298.955898019915,29647.2471828817,21965.5075979917
30.2,-60,3.89846336216201,298.961582872644,29649.8821211442,21962.577902577
30.4,-60,3.8982932996893,298.967267725373,29652.5170594068,21959.6482071622
30.6,-60,3.89812323721658,298.972952578101,29655.1519976693,21956.7185117474
30.8,-60,3.89795317474387,298.97863743083,29657.7869359318,21953.7888163327
31,-60,3.89778311227115,298.984322283558,29660.4218741943,21950.8591209179
31.2,-60,3.89761304979844,298.990007136287,29663.0568124568,21947.9294255032
31.4,-60,3.89744298732572,298.995691989016,29665.6917507194,21944.9997300884
31.6,-60,3.89727292485301,299.001376841744,29668.3266889819,21942.0700346737
31.8,-60,3.89710286238029,299.007061694473,29670.9616272444,21939.1403392589
32,-60,3.89693279990758,299.012746547201,29673.5965655069,21936.2106438441
32.2,-60,3.89676273743486,299.01843139993,29676.2315037694,21933.2809484294
32.4,-60,3.89659267496215,299.024116252659,29678.8664420319,21930.3512530146
32.6,-60,3.89642261248943,299.029801105387,29681.5013802945,21927.4215575999
32.8,-60,3.89625400641932,299.035513321236,29684.136318557,21924.4918621851
33,-60,3.89608605165714,299.04123777396,29686.7712568195,21921.5621667704
33.2,-60,3.89591809689495,299.046962226685,29689.406195082,21918.6324713556
33.4,-60,3.89575014213277,299.052686679409,29692.0411333445,21915.7027759409
33.6,-60,3.89558218737058,299.058411132133,29694.676071607,21912.7730805261
33.8,-60,3.8954142326084,299.064135584858,29697.3110098696,21909.8433851114
34,-60,3.89524627784621,299.069860037582,29699.9459481321,21906.9136896966
34.2,-60,3.89507832308403,299.075584490306,29702.5808863946,21903.9839942818
34.4,-60,3.89491036832184,299.08130894303,29705.2158246571,21901.0542988671
34.6,-60,3.89474241355966,299.087033395755,29707.8507629196,21898.1246034523
34.8,-60,3.89457445879747,299.092757848479,29710.4857011822,21895.1949080376
35,-60,3.89440650403529,299.098482301203,29713.1206394447,21892.2652126228
35.2,-60,3.8942385492731,299.104206753928,29715.7555777072,21889.3355172081
35.4,-60,3.89407059451091,299.109931206652,29718.3905159697,21886.4058217933
35.6,-60,3.89390356931558,299.115675542474,29721.0254542322,21883.4761263786
35.8,-60,3.89373739129942,299.121437999153,29723.6603924947,21880.5464309638
36,-60,3.89357121328326,299.127200455832,29726.2953307573,21877.6167355491
36.2,-60,3.8934050352671,299.132962912511,29728.9302690198,21874.6870401343
36.4,-60,3.89323885725094,299.13872536919,29731.5652072823,21871.7573447195
36.6,-60,3.89307267923478,299.144487825868,29734.2001455448,21868.8276493048
36.8,-60,3.89290650121862,299.150250282547,29736.8350838073,21865.89795389
37,-60,3.89274032320246,299.156012739226,29739.4700220699,21862.9682584753
37.2,-60,3.8925741451863,299.161775195905,29742.1049603324,21860.0385630605
37.4,-60,3.89240796717014,299.167537652584,29744.7398985949,21857.1088676458
37.6,-60,3.89224178915399,299.173300109262,29747.3748368574,21854.179172231
37.8,-60,3.89207561113783,299.179062565941,29750.0097751199,21851.2494768163
38,-60,3.89190943312167,299.18482502262,29752.6447133825,21848.3197814015
38.2,-60,3.89174325510551,299.190587479299,29755.279651645,21845.3900859867
38.4,-60,3.89157761539683,299.196362959768,29757.9145899075,21842.460390572
38.6,-60,3.89141295210979,299.202162063745,29760.54952817,21839.5306951572
38.8,-60,3.89124828882275,299.207961167722,29763.1844664325,21836.6009997425
39,-60,3.89108362553571,299.213760271699,29765.819404695,21833.6713043277
39.2,-60,3.89091896224868,299.219559375676,29768.4543429576,21830.741608913
39.4,-60,3.89075429896164,299.225358479653,29771.0892812201,21827.8119134982
39.6,-60,3.8905896356746,299.23115758363,29773.7242194826,21824.8822180835
39.8,-60,3.89042497238756,299.236956687607,29776.3591577451,21821.9525226687
40,-60,3.89026030910052,299.242755791584,29778.9940960076,21819.0228272539
40.2,-60,3.89009564581348,299.248554895561,29781.6290342701,21816.0931318392
40.4,-60,3.88993098252644,299.254353999538,29784.2639725327,21813.1634364244
40.6,-60,3.8897663192394,299.260153103515,29786.8989107952,21810.2337410097
40.8,-60,3.88960165595236,299.265952207492,29789.5338490577,21807.3040455949
41,-60,3.88943699266532,299.271751311469,29792.1687873202,21804.3743501802
41.2,-60,3.88927257427309,299.277557071133,29794.8037255827,21801.4446547654
41.4,-60,3.88910921654134,299.283391657154,29797.4386638453,21798.5149593507
41.6,-60,3.88894585880959,299.289226243174,29800.0736021078,21795.5852639359
41.8,-60,3.88878250107784,299.295060829194,29802.7085403703,21792.6555685211
42,-60,3.88861914334609,299.300895415214,29805.3434786328,21789.7258731064
42.2,-60,3.88845578561434,299.306730001235,29807.9784168953,21786.7961776916
42.4,-60,3.88829242788259,299.312564587255,29810.6133551579,21783.8664822769
42.6,-60,3.88812907015085,299.318399173275,29813.2482934204,21780.9367868621
42.8,-60,3.8879657124191,299.324233759296,29815.8832316829,21778.0070914474
43,-60,3.88780235468735,299.330068345316,29818.5181699454,21775.0773960326
43.2,-60,3.8876389969556,299.335902931336,29821.1531082079,21772.1477006179
43.4,-60,3.88747563922385,299.341737517357,29823.7880464704,21769.2180052031
43.6,-60,3.8873122814921,299.347572103377,29826.422984733,21766.2883097883
43.8,-60,3.88714892376035,299.353406689397,29829.0579229955,21763.3586143736
44,-60,3.88698558862307,299.359241957058,29831.692861258,21760.4289189588
44.2,-60,3.88682337340746,299.365111011031,29834.3277995205,21757.4992235441
44.4,-60,3.88666115819185,299.370980065004,29836.962737783,21754.5695281293
44.6,-60,3.88649894297625,299.376849118978,29839.5976760456,21751.6398327146
44.8,-60,3.88633672776064,299.382718172951,29842.2326143081,21748.7101372998
45,-60,3.88617451254503,299.388587226925,29844.8675525706,21745.7804418851
45.2,-60,3.88601229732942,299.394456280898,29847.5024908331,21742.8507464703
45.4,-60,3.88585008211381,299.400325334871,29850.1374290956,21739.9210510555
45.6,-60,3.8856878668982,299.406194388845,29852.7723673581,21736.9913556408
45.8,-60,3.88552565168259,299.412063442818,29855.4073056207,21734.061660226
46,-60,3.88536343646698,299.417932496791,29858.0422438832,21731.1319648113
46.2,-60,3.88520122125137,299.423801550765,29860.6771821457,21728.2022693965
46.4,-60,3.88503900603576,299.429670604738,29863.3121204082,21725.2725739818
46.6,-60,3.88487679082016,299.435539658711,29865.9470586707,21722.342878567
46.8,-60,3.88471457560455,299.441408712685,29868.5819969333,21719.4131831523
47,-60,3.88455322475437,299.447306369157,29871.2169351958,21716.4834877375
47.2,-60,3.88439202408423,299.453208995199,29873.8518734583,21713.5537923228
47.4,-60,3.88423082341408,299.459111621241,29876.4868117208,21710.624096908
47.6,-60,3.88406962274394,299.465014247283,29879.1217499833,21707.6944014932
47.8,-60,3.8839084220738,299.470916873325,29881.7566882458,21704.7647060785
48,-60,3.88374722140366,299.476819499367,29884.3916265084,21701.8350106637
48.2,-60,3.88358602073352,299.482722125409,29887.0265647709,21698.905315249
48.4,-60,3.88342482006338,299.488624751451,29889.6615030334,21695.9756198342
48.6,-60,3.88326361939323,299.494527377493,29892.2964412959,21693.0459244195
48.8,-60,3.88310241872309,299.500430003535,29894.9313795584,21690.1162290047
49,-60,3.88294121805295,299.506332629577,29897.566317821,21687.18653359
49.2,-60,3.88278001738281,299.512235255619,29900.2012560835,21684.2568381752
49.4,-60,3.88261881671267,299.518137881661,29902.836194346,21681.3271427604
49.6,-60,3.88245761604253,299.524040507703,29905.4711326085,21678.3974473457
49.8,-60,3.88229704297502,299.529965552474,29908.106070871,21675.4677519309
50,-60,3.88213675962446,299.535900946285,29910.7410091335,21672.5380565162
50.2,-60,3.8819764762739,299.541836340097,29913.3759473961,21669.6083611014
50.4,-60,3.88181619292335,299.547771733909,29916.0108856586,21666.6786656867
50.6,-60,3.88165590957279,299.55370712772,29918.6458239211,21663.7489702719
