# Time [s], Current [A], Terminal voltage [V], Temperature [K], csp_av [mol.m-3], csn_av [mol.m-3]
0.0000,5.0000,4.0379,298.1500,17038.0000,29866.0000
10.0000,5.0000,3.9839,298.3554,17138.3958,29787.0126
20.0000,5.0000,3.9662,298.5632,17238.7916,29708.0251
30.0000,5.0000,3.9553,298.7720,17339.1874,29629.0377
40.0000,5.0000,3.9480,298.9803,17439.5831,29550.0502
50.0000,5.0000,3.9429,299.1872,17539.9789,29471.0628
60.0000,5.0000,3.9386,299.3920,17640.3747,29392.0753
70.0000,5.0000,3.9364,299.5940,17740.7705,29313.0879
80.0000,5.0000,3.9351,299.7931,17841.1663,29234.1004
90.0000,5.0000,3.9336,299.9891,17941.5621,29155.1130
100.0000,5.0000,3.9325,300.1816,18041.9578,29076.1256
110.0000,5.0000,3.9314,300.3707,18142.3536,28997.1381
120.0000,5.0000,3.9309,300.5563,18242.7494,28918.1507
130.0000,5.0000,3.9302,300.7384,18343.1452,28839.1632
140.0000,5.0000,3.9296,300.9169,18443.5410,28760.1758
150.0000,5.0000,3.9295,301.0919,18543.9368,28681.1883
160.0000,5.0000,3.9290,301.2635,18644.3326,28602.2009
170.0000,5.0000,3.9284,301.4316,18744.7283,28523.2135
180.0000,5.0000,3.9282,301.5963,18845.1241,28444.2260
190.0000,5.0000,3.9279,301.7578,18945.5199,28365.2386
200.0000,5.0000,3.9273,301.9161,19045.9157,28286.2511
210.0000,5.0000,3.9266,302.0712,19146.3115,28207.2637
220.0000,5.0000,3.9256,302.2233,19246.7073,28128.2762
230.0000,5.0000,3.9246,302.3723,19347.1030,28049.2888
240.0000,5.0000,3.9235,302.5185,19447.4988,27970.3013
250.0000,5.0000,3.9219,302.6616,19547.8946,27891.3139
260.0000,5.0000,3.9201,302.8017,19648.2904,27812.3265
270.0000,5.0000,3.9184,302.9389,19748.6862,27733.3390
280.0000,5.0000,3.9164,303.0735,19849.0820,27654.3516
