# time [s],current [A],voltage [V],temperature [K],c_p_avg [mol/m^3],c_n_avg [mol/m^3]
0,-30,3.97841692630246,298.15,29252.006443504,22404.961910205
0.5,-30,3.97800738945514,298.152875486391,29255.3001163321,22401.2997909366
1,-30,3.97762308011815,298.155762287638,29258.5937891603,22397.6376716681
1.5,-30,3.9772574438503,298.158659159127,29261.8874619884,22393.9755523997
2,-30,3.97690577401371,298.161564444949,29265.1811348166,22390.3134331312
2.5,-30,3.97656640211242,298.164477737316,29268.4748076447,22386.6513138628
3,-30,3.97623791399773,298.167398593279,29271.7684804729,22382.9891945943
3.5,-30,3.97591735973433,298.170325244335,29275.062153301,22379.3270753259
4,-30,3.97560454310124,298.173257743637,29278.3558261292,22375.6649560574
4.5,-30,3.97529913907784,298.176196039336,29281.6494989573,22372.002836789
5,-30,3.97499991709457,298.179139300842,29284.9431717855,22368.3407175206
5.5,-30,3.97470617476443,298.18208704671,29288.2368446136,22364.6785982521
6,-30,3.97441833252772,298.185039688649,29291.5305174418,22361.0164789837
6.5,-30,3.97413387886916,298.187995157028,29294.8241902699,22357.3543597152
7,-30,3.97385454889914,298.190954914677,29298.1178630981,22353.6922404468
7.5,-30,3.97357746484209,298.193916552482,29301.4115359262,22350.0301211783
8,-30,3.97330640468265,298.196883201165,29304.7052087544,22346.3680019099
8.5,-30,3.97303675691988,298.199851009707,29307.9988815825,22342.7058826414
9,-30,3.9727718235261,298.202822668225,29311.2925544107,22339.043763373
9.5,-30,3.97250899391064,298.205795991271,29314.5862272388,22335.3816441046
10,-30,3.9722491608759,298.208771685238,29317.8799000669,22331.7195248361
10.5,-30,3.97199232284344,298.211749647809,29321.1735728951,22328.0574055677
11,-30,3.97173708652021,298.214728823616,29324.4672457232,22324.3952862992
11.5,-30,3.97148556213439,298.217710657845,29327.7609185514,22320.7331670308
12,-30,3.97123498615636,298.220693147485,29331.0545913795,22317.0710477623
12.5,-30,3.9709877152374,298.223677844322,29334.3482642077,22313.4089284939
13,-30,3.97074172678393,298.226663326516,29337.6419370358,22309.7468092255
13.5,-30,3.97049793342246,298.22965015294,29340.935609864,22306.084689957
14,-30,3.97025608474266,298.232638049167,29344.2292826921,22302.4225706886
14.5,-30,3.97001549060677,298.235626635541,29347.5229555203,22298.7604514201
15,-30,3.96977739879424,298.238616426639,29350.8166283484,22295.0983321517
15.5,-30,3.96954010424439,298.241606566922,29354.1103011766,22291.4362128832
16,-30,3.96930647599611,298.2445981041,29357.4039740047,22287.7740936148
16.5,-30,3.96907284774782,298.247589641278,29360.6976468329,22284.1119743463
17,-30,3.96883921949954,298.250581178456,29363.991319661,22280.4498550779
17.5,-30,3.96860827114558,298.253573361469,29367.2849924892,22276.7877358095
18,-30,3.9683793930763,298.256566043406,29370.5786653173,22273.125616541
18.5,-30,3.96815051500703,298.259558725343,29373.8723381455,22269.4634972726
19,-30,3.96792181269284,298.262551416231,29377.1660109736,22265.8013780041
19.5,-30,3.96769708758113,298.265544309694,29380.4596838018,22262.1392587357
20,-30,3.96747236246942,298.268537203156,29383.7533566299,22258.4771394672
20.5,-30,3.96724763735771,298.271530096618,29387.0470294581,22254.8150201988
21,-30,3.96702482084456,298.274522683448,29390.3407022862,22251.1529009304
21.5,-30,3.96680376277271,298.277514987769,29393.6343751144,22247.4907816619
22,-30,3.96658270470086,298.280507292091,29396.9280479425,22243.8286623935
22.5,-30,3.966361646629,298.283499596413,29400.2217207706,22240.166543125
23,-30,3.96614384849723,298.286490622068,29403.5153935988,22236.5044238566
23.5,-30,3.96592605484635,298.289481645966,29406.8090664269,22232.8423045881
24,-30,3.96570826119548,298.292472669863,29410.1027392551,22229.1801853197
24.5,-30,3.9654918628779,298.295462796761,29413.3964120832,22225.5180660512
25,-30,3.96527699579896,298.29845193929,29416.6900849114,22221.8559467828
25.5,-30,3.96506212872002,298.30144108182,29419.9837577395,22218.1938275144
26,-30,3.96484726164108,298.304430224349,29423.2774305677,22214.5317082459
26.5,-30,3.96463491527777,298.307417068533,29426.5711033958,22210.8695889775
27,-30,3.9644226878734,298.310403804251,29429.864776224,22207.207469709
27.5,-30,3.96421046046902,298.31339053997,29433.1584490521,22203.5453504406
28,-30,3.96399927063858,298.316376033534,29436.4521218803,22199.8832311721
28.5,-30,3.96378943899368,298.319359901115,29439.7457947084,22196.2211119037
29,-30,3.96357960734878,298.322343768696,29443.0394675366,22192.5589926352
29.5,-30,3.96336977570388,298.325327636278,29446.3331403647,22188.8968733668
30,-30,3.96316193713921,298.328308519896,29449.6268131929,22185.2347540984
30.5,-30,3.96295429270925,298.331289112863,29452.920486021,22181.5726348299
31,-30,3.96274664827929,298.33426970583,29456.2141588492,22177.9105155615
31.5,-30,3.96253978561567,298.33724888367,29459.5078316773,22174.248396293
32,-30,3.96233414883138,298.340225842466,29462.8015045055,22170.5862770246
32.5,-30,3.9621285120471,298.343202801262,29466.0951773336,22166.9241577561
33,-30,3.96192287526281,298.346179760058,29469.3888501618,22163.2620384877
33.5,-30,3.96171884527056,298.349153288982,29472.6825229899,22159.5999192192
34,-30,3.96151506059359,298.352126294255,29475.976195818,22155.9377999508
34.5,-30,3.96131127591662,298.355099299527,29479.2698686462,22152.2756806824
