# time [s],current [A],voltage [V],temperature [K],c_p_avg [mol/m^3],c_n_avg [mol/m^3]
0,-150,3.79484331374735,298.15,29252.006443504,22404.961910205
0.2,-150,3.79391511457707,298.179145862821,29258.5937891603,22397.6376716681
0.4,-150,3.79300372440389,298.208380343575,29265.1811348166,22390.3134331312
0.6,-150,3.79210795092917,298.237701835846,29271.7684804729,22382.9891945943
0.8,-150,3.79122707304757,298.267109655004,29278.3558261292,22375.6649560574
1,-150,3.79035997742713,298.296600151937,29284.9431717855,22368.3407175206
1.2,-150,3.78950593403373,298.326171459906,29291.5305174418,22361.0164789837
1.4,-150,3.78866487531405,298.355825861705,29298.1178630981,22353.6922404468
1.6,-150,3.78783471192246,298.385552405424,29304.7052087544,22346.3680019099
1.8,-150,3.78701563626179,298.415354771246,29311.2925544107,22339.043763373
2,-150,3.78620705193484,298.445231453581,29317.8799000669,22331.7195248361
2.2,-150,3.7854085651403,298.475182482763,29324.4672457233,22324.3952862992
2.4,-150,3.78461975224325,298.505207599911,29331.0545913795,22317.0710477623
2.6,-150,3.78383974225657,298.535302860149,29337.6419370358,22309.7468092255
2.8,-150,3.78306805812606,298.565467068434,29344.2292826921,22302.4225706886
3,-150,3.78230515893188,298.595707322457,29350.8166283484,22295.0983321517
3.2,-150,3.78155002913756,298.626016994669,29357.4039740047,22287.7740936148
3.4,-150,3.78079990586124,298.656374029463,29363.991319661,22280.4498550779
3.6,-150,3.7800577600169,298.686806532231,29370.5786653173,22273.125616541
3.8,-150,3.77932160923299,298.717299637239,29377.1660109736,22265.8013780041
4,-150,3.77859128955284,298.747851687098,29383.7533566299,22258.4771394672
4.2,-150,3.7778677791021,298.778476958355,29390.3407022862,22251.1529009303
4.4,-150,3.77714829746587,298.809145552494,29396.9280479425,22243.8286623935
4.6,-150,3.77643629389209,298.839899440148,29403.5153935988,22236.5044238566
4.8,-150,3.77572678819083,298.870681818113,29410.1027392551,22229.1801853197
5,-150,3.77502532716139,298.901561074411,29416.6900849114,22221.8559467828
5.2,-150,3.77432505813075,298.932454685411,29423.2774305677,22214.5317082459
5.4,-150,3.77363330787568,298.963456321697,29429.864776224,22207.207469709
5.6,-150,3.77294253374094,298.994470916724,29436.4521218803,22199.8832311721
5.8,-150,3.77225885757736,299.025580049958,29443.0394675366,22192.5589926352
6,-150,3.77157694308697,299.056713759019,29449.6268131929,22185.2347540984
6.2,-150,3.77090076446883,299.087927485082,29456.2141588492,22177.9105155615
6.4,-150,3.77022709428388,299.119177787913,29462.8015045055,22170.5862770246
6.6,-150,3.76955795577947,299.150494169534,29469.3888501617,22163.2620384877
6.8,-150,3.76889198245009,299.181858713354,29475.976195818,22155.9377999508
7,-150,3.76822947057365,299.213275927622,29482.5635414743,22148.6135614139
7.2,-150,3.76757247775813,299.244781706624,29489.1508871306,22141.289322877
7.4,-150,3.76691917991878,299.276346779154,29495.7382327869,22133.9650843401
7.6,-150,3.76626588207944,299.307911851684,29502.3255784432,22126.6408458032
7.8,-150,3.76561258424009,299.339476924214,29508.9129240995,22119.3166072664
8,-150,3.76496872089389,299.371203542759,29515.5002697558,22111.9923687295
8.2,-150,3.76432663241217,299.402960552155,29522.0876154121,22104.6681301926
8.4,-150,3.76368454393045,299.434717561552,29528.6749610684,22097.3438916557
8.6,-150,3.7630433057333,299.466490278335,29535.2623067247,22090.0196531188
8.8,-150,3.76241129882237,299.498433525538,29541.849652381,22082.6954145819
9,-150,3.76177929191144,299.53037677274,29548.4369980373,22075.371176045
9.2,-150,3.76114728500051,299.562320019942,29555.0243436936,22068.0469375081
9.4,-150,3.76051826079326,299.594322486558,29561.6116893499,22060.7226989713
9.6,-150,3.75989537477809,299.626446822517,29568.1990350062,22053.3984604344
9.8,-150,3.75927248876291,299.658571158476,29574.7863806625,22046.0742218975
10,-150,3.75864960274773,299.690695494435,29581.3737263188,22038.7499833606
10.2,-150,3.75803142603599,299.722920336548,29587.9610719751,22031.4257448237
10.4,-150,3.75741680635144,299.755221092887,29594.5484176314,22024.1015062868
10.6,-150,3.7568021866669,299.787521849225,29601.1357632877,22016.7772677499
10.8,-150,3.75618756698235,299.819822605564,29607.723108944,22009.453029213
11,-150,3.75557905676609,299.852263231703,29614.3104546003,22002.1287906761
11.2,-150,3.75497195758231,299.884736161934,29620.8978002565,21994.8045521393
11.4,-150,3.75436485839853,299.917209092165,29627.4851459128,21987.4803136024
11.6,-150,3.75375813568356,299.949691288079,29634.0724915691,21980.1560750655
11.8,-150,3.75315787474367,299.982332521758,29640.6598372254,21972.8318365286
12,-150,3.75255761380379,300.014973755437,29647.2471828817,21965.5075979917
12.2,-150,3.7519573528639,300.047614989117,29653.834528538,21958.1833594548
12.4,-150,3.75135894446741,300.080305281192,29660.4218741943,21950.8591209179
12.6,-150,3.75076490571876,300.113111288731,29667.0092198506,21943.534882381
12.8,-150,3.75017086697011,300.14591729627,29673.5965655069,21936.2106438441
13,-150,3.74957682822146,300.178723303808,29680.1839111632,21928.8864053073
13.2,-150,3.74898584566556,300.211616618213,29686.7712568195,21921.5621667704
13.4,-150,3.74839746224023,300.244584182496,29693.3586024758,21914.2379282335
13.6,-150,3.7478090788149,300.27755174678,29699.9459481321,21906.9136896966
13.8,-150,3.74722069538957,300.310519311064,29706.5332937884,21899.5894511597
14,-150,3.74663633177226,300.343611094424,29713.1206394447,21892.2652126228
14.2,-150,3.74605308162351,300.376737285904,29719.707985101,21884.9409740859
14.4,-150,3.74546983147475,300.409863477384,29726.2953307573,21877.6167355491
